FID,REGION_CODE,REGION_DESCRIPTION,SITE_NAME,TEMP_C,DEPTH,MOORING_CODE,MOORING_DESCRIPTION,SUBSTRATE_TYPE_CODE,SUBSTRATE_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,GEOM,DATETIME_LOCAL,DATETIME_UTC
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13ee,2,West Coast,Cape Sorell,16.463,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T12:00:00,2010-01-05T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13ed,2,West Coast,Cape Sorell,16.582,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T20:00:00,2010-01-05T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13ec,2,West Coast,Cape Sorell,16.606,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T04:00:00,2010-01-05T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13eb,2,West Coast,Cape Sorell,16.511,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T12:00:00,2010-01-06T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13ea,2,West Coast,Cape Sorell,16.796,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T20:00:00,2010-01-06T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e9,2,West Coast,Cape Sorell,16.582,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-07T04:00:00,2010-01-06T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e8,2,West Coast,Cape Sorell,16.511,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-07T12:00:00,2010-01-07T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e7,2,West Coast,Cape Sorell,16.773,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-07T20:00:00,2010-01-07T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e6,2,West Coast,Cape Sorell,16.606,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-08T04:00:00,2010-01-07T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e5,2,West Coast,Cape Sorell,16.773,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-08T12:00:00,2010-01-08T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e4,2,West Coast,Cape Sorell,16.606,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-08T20:00:00,2010-01-08T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e3,2,West Coast,Cape Sorell,16.868,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-09T04:00:00,2010-01-08T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e2,2,West Coast,Cape Sorell,16.868,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-09T12:00:00,2010-01-09T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e1,2,West Coast,Cape Sorell,16.463,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-09T20:00:00,2010-01-09T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13e0,2,West Coast,Cape Sorell,16.868,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-10T04:00:00,2010-01-09T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13df,2,West Coast,Cape Sorell,16.796,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-10T12:00:00,2010-01-10T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13de,2,West Coast,Cape Sorell,17.296,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-10T20:00:00,2010-01-10T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13dd,2,West Coast,Cape Sorell,17.011,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-11T04:00:00,2010-01-10T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13dc,2,West Coast,Cape Sorell,17.225,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-11T12:00:00,2010-01-11T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13db,2,West Coast,Cape Sorell,16.82,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-11T20:00:00,2010-01-11T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13da,2,West Coast,Cape Sorell,16.963,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-12T04:00:00,2010-01-11T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d9,2,West Coast,Cape Sorell,17.177,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-12T12:00:00,2010-01-12T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d8,2,West Coast,Cape Sorell,17.368,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-12T20:00:00,2010-01-12T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d7,2,West Coast,Cape Sorell,17.058,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-13T04:00:00,2010-01-12T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d6,2,West Coast,Cape Sorell,17.058,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-13T12:00:00,2010-01-13T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d5,2,West Coast,Cape Sorell,17.51,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-13T20:00:00,2010-01-13T10:00:00
